matja,T_s
291,2.047458023e-03
292,2.159583033e-03
293,2.115084033e-03
294,2.114041999e-03
295,2.130042005e-03
296,2.179250005e-03
297,2.136291994e-03
298,2.111749956e-03
299,2.102707978e-03
300,2.162124962e-03
301,2.123999991e-03
302,2.112708986e-03
303,2.109083987e-03
304,2.176250040e-03
305,2.108541958e-03
306,2.105041989e-03
307,2.099791018e-03
308,2.217250003e-03
309,2.077374957e-03
310,2.054832992e-03
311,2.050207986e-03
312,2.052625001e-03
313,2.076709003e-03
314,2.073290991e-03
315,2.099584031e-03
316,2.287707990e-03
317,2.055999998e-03
318,2.051416959e-03
319,2.047666989e-03
320,2.078957972e-03
321,2.145707957e-03
322,2.106249973e-03
323,2.129541012e-03
324,2.131999994e-03
325,2.054792014e-03
326,2.047500049e-03
327,2.085249987e-03
328,2.068292000e-03
329,2.053292003e-03
330,2.049000002e-03
331,2.042707987e-03
332,2.093875024e-03
333,2.057542035e-03
334,2.150207991e-03
335,2.141709032e-03
336,2.065083012e-03
337,2.069499984e-03
338,2.050000010e-03
339,2.081582963e-03
340,2.161166980e-03
341,2.119791985e-03
342,2.068333037e-03
343,2.044541994e-03
344,2.051832969e-03
345,2.054042008e-03
346,2.068665985e-03
347,2.046292007e-03
348,2.097333025e-03
349,2.055541030e-03
350,2.064875036e-03
351,2.054125012e-03
352,2.063374966e-03
353,2.068500035e-03
354,2.101875027e-03
355,2.109124966e-03
356,2.160208009e-03
357,2.050541982e-03
358,2.064917004e-03
359,2.067207999e-03
360,2.102833998e-03
361,2.073374984e-03
362,2.055124962e-03
363,2.055624966e-03
364,2.102083992e-03
365,2.118333010e-03
366,2.063833002e-03
367,2.058124985e-03
368,2.057750011e-03
369,2.060334024e-03
370,2.069000038e-03
371,2.037209051e-03
372,2.204459044e-03
373,2.055916993e-03
374,2.075208002e-03
375,2.065500012e-03
376,2.051749965e-03
377,2.127374988e-03
378,2.052750031e-03
379,2.047542017e-03
380,2.095999953e-03
381,2.052499971e-03
382,2.093875024e-03
383,2.080083010e-03
384,2.094500000e-03
385,2.063374966e-03
386,2.053208998e-03
387,2.045166038e-03
388,2.092959010e-03
389,2.085832995e-03
390,2.098832978e-03
391,2.062833984e-03
392,2.049374976e-03
393,2.054459008e-03
394,2.048541035e-03
395,2.044374996e-03
396,2.140792029e-03
397,2.128416032e-03
398,2.056875033e-03
399,2.049124974e-03
400,2.073582960e-03
